"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
10575755018,1057018
10575755020,1057020
10575755028,1057028
10575755039,1057039
10575755040,1057040
10575755041,1057041
10575755043,1057043
10575755049,1057049
10575755056,1057056
10575755060,1057060
10575755063,1057063
10575755073,1057073
10575755078,1057078
10575755079,1057079
10575755081,1057081
10575755087,1057087
10575755088,1057088
10575775,
10575775016,1057016
10575775044,1057044
10575775050,1057050
10575775052,1057052
10575775072,1057072
10575775077,1057077
10575775090,1057090
10575782,
10575782025,1057025
10575782051,1057051
10575782074,1057074
10575785,
10575785005,1057005
10575785024,1057024
10575785068,1057068
10575785069,1057069
10575785071,1057071
10575785080,1057080
10575785083,1057083
10575785085,1057085
1058,
10580005005,1058005
10580034034,1058034
10580043043,1058043
10580092092,1058092
10580135135,1058135
10580169169,1058169
10585803,
10585803001,1058001
10585803028,1058028
10585803050,1058050
10585803093,1058093
10585803104,1058104
10585803126,1058126
10585803130,1058130
10585803171,1058171
10585822,
10585822037,1058037
10585822116,1058116
10585822150,1058150
10585822157,1058157
10585824,
10585824051,1058051
10585824058,1058058
10585824096,1058096
10585824110,1058110
10585824112,1058112
10585824121,1058121
10585824142,1058142
10585824165,1058165
10585830,
10585830019,1058019
10585830053,1058053
10585830145,1058145
10585830160,1058160
10585833,
10585833003,1058003
10585833054,1058054
10585833118,1058118
10585833136,1058136
10585847,
10585847010,1058010
10585847029,1058029
10585847036,1058036
10585847047,1058047
10585847055,1058055
10585847056,1058056
10585847070,1058070
10585847078,1058078
10585847089,1058089
10585847097,1058097
10585847129,1058129
10585847154,1058154
10585853,
10585853031,1058031
10585853048,1058048
10585853068,1058068
10585853071,1058071
10585853075,1058075
10585853086,1058086
10585853101,1058101
10585853148,1058148
10585853155,1058155
10585853172,1058172
10585859,
10585859018,1058018
10585859105,1058105
10585859107,1058107
10585859138,1058138
10585859139,1058139
10585859141,1058141
10585864,
10585864011,1058011
10585864021,1058021
10585864023,1058023
10585864027,1058027
10585864038,1058038
10585864045,1058045
10585864046,1058046
10585864049,1058049
10585864059,1058059
10585864065,1058065
10585864091,1058091
10585864094,1058094
10585864117,1058117
10585864120,1058120
10585864147,1058147
10585864163,1058163
10585864168,1058168
10585888,
10585888026,1058026
10585888073,1058073
10585888122,1058122
10585888124,1058124
10585888132,1058132
10585888140,1058140
10585888146,1058146
10585889,
10585889016,1058016
10585889022,1058022
10585889033,1058033
10585889063,1058063
10585889064,1058064
10585889076,1058076
10585889098,1058098
10585889108,1058108
10585889109,1058109
10585889133,1058133
10585889143,1058143
10585889144,1058144
10585889153,1058153
10585889170,1058170
10585890,
10585890008,1058008
10585890024,1058024
10585890030,1058030
10585890035,1058035
10585890039,1058039
10585890066,1058066
10585890069,1058069
10585890080,1058080
10585890081,1058081
10585890083,1058083
10585890088,1058088
10585890111,1058111
10585890123,1058123
10585890127,1058127
10585890152,1058152
10585890175,1058175
10585893,
10585893004,1058004
10585893012,1058012
10585893032,1058032
10585893040,1058040
10585893042,1058042
10585893052,1058052
10585893057,1058057
10585893067,1058067
10585893082,1058082
10585893084,1058084
10585893087,1058087
10585893090,1058090
10585893099,1058099
10585893102,1058102
10585893137,1058137
10585893162,1058162
10585893166,1058166
10585893173,1058173
10585893174,1058174
10585895,
10585895007,1058007
10585895009,1058009
10585895013,1058013
10585895014,1058014
10585895015,1058015
10585895025,1058025
10585895044,1058044
10585895061,1058061
10585895062,1058062
10585895072,1058072
10585895074,1058074
10585895077,1058077
10585895085,1058085
10585895100,1058100
10585895103,1058103
10585895106,1058106
10585895113,1058113
10585895115,1058115
10585895119,1058119
10585895125,1058125
10585895128,1058128
10585895131,1058131
10585895134,1058134
10585895151,1058151
10585895156,1058156
10585895158,1058158
10585895159,1058159
10585895161,1058161
10585895164,1058164
10585895167,1058167
1059,
10590045045,1059045
10590075075,1059075
10590113113,1059113
10590120120,1059120
10590183183,1059183
10595912,
10595912107,1059107
10595912128,1059128
10595912131,1059131
10595912132,1059132
10595912138,1059138
10595912162,1059162
10595912169,1059169
10595912174,1059174
10595915,
10595915012,1059012
10595915018,1059018
10595915019,1059019
10595915026,1059026
10595915032,1059032
10595915043,1059043
10595915056,1059056
10595915078,1059078
10595919,
10595919101,1059101
10595919103,1059103
10595919116,1059116
10595919126,1059126
10595919127,1059127
10595919141,1059141
10595919182,1059182
10595920,
10595920002,1059002
10595920034,1059034
10595920067,1059067
10595920068,1059068
10595937,
10595937106,1059106
10595937118,1059118
10595937137,1059137
10595937145,1059145
10595937157,1059157
10595937176,1059176
10595937178,1059178
10595940,
10595940159,1059159
10595940171,1059171
10595940184,1059184
10595949,
10595949076,1059076
10595949161,1059161
10595949185,1059185
10595952,
10595952105,1059105
10595952115,1059115
10595952123,1059123
10595952124,1059124
10595952129,1059129
10595952143,1059143
10595952144,1059144
10595952149,1059149
10595952151,1059151
10595952158,1059158
10595952173,1059173
10595952177,1059177
10595952179,1059179
10595974,
10595974006,1059006
10595974055,1059055
10595974060,1059060
10595974063,1059063
10595974065,1059065
10595974070,1059070
10595974072,1059072
10595974074,1059074
10595974080,1059080
10595974083,1059083
10595974094,1059094
10595974095,1059095
10595974187,1059187
10595987,
10595987008,1059008
10595987037,1059037
10595987042,1059042
10595987049,1059049
10595987062,1059062
10595987073,1059073
10595987081,1059081
10595987082,1059082
10595987084,1059084
10595987086,1059086
10595987090,1059090
10595987093,1059093
10595987097,1059097
10595987098,1059098
10595987189,1059189
10595990,
10595990102,1059102
10595990109,1059109
10595990112,1059112
10595990121,1059121
10595990136,1059136
10595990142,1059142
10595990147,1059147
10595990148,1059148
10595990152,1059152
10595990154,1059154
10595990155,1059155
10595990163,1059163
10595990164,1059164
10595990167,1059167
10595990168,1059168
10595990186,1059186
10595993,
10595993010,1059010
10595993023,1059023
10595993039,1059039
10595993041,1059041
10595993044,1059044
10595993057,1059057
10595993077,1059077
10595993079,1059079
10595993092,1059092
10595996,
10595996001,1059001
10595996005,1059005
10595996009,1059009
10595996020,1059020
10595996024,1059024
10595996035,1059035
10595996050,1059050
10595996051,1059051
10595996053,1059053
10595996058,1059058
10595996087,1059087
10595996088,1059088
10595996096,1059096
10595996188,1059188
1060,
10600004004,1060004
10600005005,1060005
10600019019,1060019
10600039039,1060039
10600044044,1060044
10600063063,1060063
10600092092,1060092
10605005,
10605005003,1060003
10605005009,1060009
10605005013,1060013
10605005021,1060021
10605005023,1060023
10605005027,1060027
10605005031,1060031
10605005033,1060033
10605005035,1060035
10605005037,1060037
10605005040,1060040
10605005056,1060056
10605005095,1060095
10605005099,1060099
10605024,
10605024012,1060012
10605024017,1060017
10605024026,1060026
10605024072,1060072
10605024080,1060080
10605024086,1060086
10605024087,1060087
10605024089,1060089
10605034,
10605034043,1060043
10605034046,1060046
10605034058,1060058
10605034065,1060065
10605034076,1060076
10605034085,1060085
10605043,
10605043002,1060002
10605043034,1060034
10605043036,1060036
10605043054,1060054
10605043064,1060064
10605043073,1060073
10605048,
10605048042,1060042
10605048045,1060045
10605048047,1060047
10605048066,1060066
10605048077,1060077
10605048082,1060082
10605048084,1060084
10605048094,1060094
10605048100,1060100
10605053,
10605053007,1060007
10605053008,1060008
10605053022,1060022
10605053029,1060029
10605053041,1060041
10605053051,1060051
10605053053,1060053
10605053057,1060057
10605053062,1060062
10605053074,1060074
10605053088,1060088
10605053101,1060101
10605063,
10605063011,1060011
10605063016,1060016
10605063028,1060028
10605063038,1060038
10605063052,1060052
10605063068,1060068
10605086,
10605086006,1060006
10605086010,1060010
10605086015,1060015
10605086018,1060018
10605086020,1060020
10605086024,1060024
10605086025,1060025
10605086030,1060030
10605086048,1060048
10605086049,1060049
10605086050,1060050
10605086059,1060059
10605086060,1060060
10605086061,1060061
10605086067,1060067
10605086069,1060069
10605086070,1060070
10605086071,1060071
10605086075,1060075
10605086079,1060079
10605086081,1060081
10605086090,1060090
10605086091,1060091
10605086093,1060093
10605086096,1060096
10605086097,1060097
10605086098,1060098
10609014014,1060014
1061,
10610029029,1061029
10610046046,1061046
10610113113,1061113
10615104,
10615104005,1061005
10615104016,1061016
10615104017,1061017
10615104053,1061053
10615104058,1061058
10615104061,1061061
10615104068,1061068
10615104072,1061072
10615104079,1061079
10615104109,1061109
10615104115,1061115
10615134,
10615134004,1061004
10615134012,1061012
10615134015,1061015
10615134027,1061027
10615134037,1061037
10615134041,1061041
10615134044,1061044
10615134050,1061050
10615134054,1061054
10615134074,1061074
10615134101,1061101
10615134118,1061118
10615138,
10615138008,1061008
10615138010,1061010
10615138024,1061024
10615138034,1061034
10615138035,1061035
10615138039,1061039
10615138040,1061040
10615138045,1061045
10615138047,1061047
10615138052,1061052
10615138059,1061059
10615138065,1061065
10615138067,1061067
10615138070,1061070
10615138082,1061082
10615138083,1061083
10615138084,1061084
10615138098,1061098
10615138100,1061100
10615138114,1061114
10615153,
10615153006,1061006
10615153022,1061022
10615153026,1061026
10615153030,1061030
10615153055,1061055
10615153056,1061056
10615153057,1061057
10615153073,1061073
10615153092,1061092
10615153104,1061104
10615168,
10615168001,1061001
10615168003,1061003
